EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-1,5,-1,-4,-4,-12,-9,-10,B
-3,-10,0,1,5,5,-22,4,B
-9,0,-2,-2,-2,8,-24,-2,B
-1,3,-4,-3,-3,1,40,-6,B
-5,-20,-4,-4,-2,-5,11,-1,B
0,24,0,-5,-3,-3,13,-10,B
4,-2,1,2,1,-4,17,8,B
-3,-2,-3,2,3,-6,-32,4,B
0,-13,1,4,5,29,51,3,B
-4,-9,-1,-1,-3,-5,-18,-3,B
1,-1,-4,-2,-4,-15,-28,-5,B
-2,-1,1,1,0,3,-11,-4,B
-2,4,-4,-8,-6,-5,-26,-6,B
-2,-9,-2,-3,-1,-3,24,3,B
1,1,-1,2,0,3,18,-1,B
15,1,0,-2,-2,-4,-4,4,B
1,7,-1,-3,-3,-14,-18,0,B
-4,-1,1,1,2,14,7,-10,B
4,-1,0,-2,-3,-5,26,4,B
-21,-2,-2,2,2,9,-26,-4,B
8,-5,-1,3,0,0,22,11,B
1,6,-3,-8,-7,-3,29,-7,B
1,1,5,8,3,-11,-36,2,B
2,-8,-4,-6,-8,-5,-3,7,B
-8,10,-1,-3,-2,1,-20,-2,B
-2,-15,-3,-2,1,3,17,2,B
-6,-4,-1,-4,0,0,19,-1,B
-3,1,-2,-2,-3,-6,-27,-11,B
6,-4,-4,-3,-2,-5,10,5,B
-1,-1,-1,2,0,-8,-22,-6,B
-7,2,-2,-5,-3,-6,7,-6,B
6,0,-2,-3,-3,8,15,-1,B
-15,-2,-1,0,2,6,22,2,B
0,-2,-3,-2,-4,-5,-18,0,B
-1,4,-1,-2,-3,-1,4,5,B
0,-16,1,1,1,-11,-39,-14,B
-10,17,0,2,1,-3,-28,-11,B
2,-2,-1,3,3,15,58,13,B
0,-15,-4,-6,-5,5,21,-10,B
0,-2,-1,-3,-2,-3,17,8,B
2,2,1,-2,-1,0,-16,0,B
-4,-1,1,3,3,-6,-32,-1,B
7,3,0,2,2,2,0,0,B
-12,-5,-2,-1,0,0,10,-1,B
4,-1,-3,-6,-4,-17,-30,-9,B
-17,-2,0,1,2,29,28,-1,B
9,-4,3,3,-1,-11,10,5,B
5,1,-6,-9,-2,-4,-38,-4,B
-2,1,1,3,2,-2,3,5,B
-2,-7,-4,-5,-7,-15,-7,-2,B
-9,0,-1,0,0,0,-30,-6,B
5,7,3,6,5,12,35,1,B
4,-5,1,-1,-2,-7,-13,5,B
12,0,1,1,0,-3,33,-7,B
-17,-15,-4,-2,-1,-10,-47,-19,B
3,36,4,5,2,-3,13,8,B
-4,-8,-6,-4,1,10,16,0,B
2,13,1,0,-4,-23,-47,-5,B
4,-1,1,1,2,2,18,3,C
-1,1,-1,-2,-4,-3,-21,-5,C
0,-4,-1,3,2,5,-4,2,C
9,6,-2,-3,-5,-5,9,4,C
-3,-6,-2,-2,-1,-2,-15,-2,C
-7,-2,0,-2,0,0,-3,-7,C
0,-7,-1,-1,5,11,30,7,C
7,10,2,1,1,-6,-13,-4,C
4,-6,-3,0,-1,-2,14,9,C
5,-15,2,2,2,-2,-28,-6,C
-8,29,2,-2,-6,-11,7,-8,C
-5,-2,-1,-5,-2,9,4,3,C
0,1,1,0,0,-2,-1,-2,C
-6,-3,-4,-2,-1,-3,10,-3,C
7,-11,-2,1,2,-3,-22,-4,C
1,-2,-1,-3,-1,4,3,1,C
